ID,StartDate,EndDate,Finished,gender,sexuality,white,black,native,asian,hispanic,multi,other,socialsci,natphysci,stem,artshum,otherstudy,gpa,fraternity,sorority,geninclus,nogreek,legacy,income,finanaid,athlevel,ideology,party,clinton,sanders,trump,vote,debt,loans,loansamt,ploans,ploansamt,sateduc,satintvol,satoffterm,housing,sexassault,greeklife,Phjob,admin,BLM,divest,theD,review,alcohol,drugs,sex,sleep,bema,centergreen,preslawn,tophop,stepshall,fiftyyard,stacks,sevennone,lous,ledyard,decade,challnone,homcome,wintercar,greenkey,sophsum,docfirst,gradstate,gradplans,gradwork,gradsalary,tenyears
R_3ERVktl0N65k4zd,5/27/2016 16:55,5/27/2016 16:59,1,1,1,1,,,,,,,1,,,,,3,1,,,,1,5,2,3,2,3,2,2,5,1,2,2,,2,,2,2,2,4,2,5,2,5,4,1,3,4,5,5,4,8,1,,,,,,,,1,,,,4,5,1,2,3,32,1,8,8,8
R_3eyTjqFfr2hV3rz,5/27/2016 16:56,5/27/2016 16:59,1,2,1,1,,,,,,,1,,,,,2,,,,1,2,5,2,4,1,3,2,2,5,1,2,2,,2,,2,3,2,4,3,3,3,3,3,2,2,4,3,1,4,8,,,,,,,,,,,,,,,,,,51,1,1,1,5
R_0d3wWET2iVoOqzv,5/27/2016 16:59,5/27/2016 17:03,1,2,1,1,,,,,,,,,,1,,2,,1,,,1,8,2,1,3,4,4,4,5,1,2,2,,2,,1,3,1,3,3,4,4,4,3,2,3,4,4,1,4,8,,,,,,,,,,,,,3,4,5,2,1,29,8,6,2,6
R_1ihB6iGJ7fYukIz,5/27/2016 17:01,5/27/2016 17:05,1,1,1,1,,,,,,,1,,,,,1,1,,,,2,8,2,3,2,3,4,2,5,1,2,2,,2,,1,2,1,4,1,5,4,5,3,3,4,4,4,2,5,8,,,1,,,,1,,1,,,,3,5,4,1,2,32,2,4,5,11
R_pK1WH0rFtHAIKOZ,5/27/2016 17:00,5/27/2016 17:05,1,2,1,1,,,,,,,,,1,,,2,,1,,,2,4,2,2,2,3,4,3,5,1,2,2,,2,,2,2,1,3,2,4,4,4,3,2,2,3,4,1,2,9,,,,,,,1,,,1,,,4,5,3,1,2,32,6,5,3,8
R_2TRyqalvV8fREDN,5/27/2016 16:57,5/27/2016 17:07,1,1,2,,,,,1,,,,,1,,,4,,,1,,2,2,1,4,2,1,2,2,5,1,2,1,0 paid it off because I work,2,,2,3,3,2,3,2,3,3,1,2,2,5,4,2,5,6,,,,,,,,,1,,,,4,1,2,3,5,29,7,1,8,13
R_3ExVF1X0gg2nejG,5/27/2016 17:03,5/27/2016 17:09,1,2,1,1,,,,1,,,1,,,,,2,,1,,,2,2,1,4,1,1,1,2,5,1,2,2,,2,,1,1,1,4,2,5,2,4,4,3,2,5,4,2,5,5,1,1,1,1,1,1,1,,1,,,,1,4,3,5,2,21,2,12,3,12
R_OOHgAMO70nDztst,5/27/2016 17:09,5/27/2016 17:12,1,2,1,,,,1,,,,1,,,,,2,,,,1,2,7,2,3,2,3,1,4,5,1,2,2,,2,,1,2,3,2,3,5,3,4,5,4,5,3,4,1,3,8,1,1,,,1,1,1,,1,1,1,,4,5,1,2,3,21,2,3,5,11
R_2Tphqxx2M7qchpt,5/27/2016 17:12,5/27/2016 17:16,1,2,3,1,,,,,,,1,,,,,2,,,,1,2,3,1,3,1,4,2,2,5,1,2,2,,2,,4,2,1,2,2,3,5,5,1,1,4,5,3,3,2,7,,,,,,,,,1,,,,3,4,1,2,5,51,2,7,3,7
R_3e4tAAW7aw52r3U,5/27/2016 17:14,5/27/2016 17:17,1,2,1,,,,1,,,,1,,,1,,3,,1,,,2,5,2,4,2,2,2,4,5,1,2,2,,2,,4,2,2,3,3,3,4,4,3,3,4,4,3,1,5,9,,,,,,,,,1,,,,3,4,2,1,5,30,2,4,5,11
R_3PYzkU4dPU57V0n,5/27/2016 17:18,5/27/2016 17:21,1,2,1,1,,,,,,,,,,1,,2,,1,,,2,7,2,3,2,3,1,4,5,1,2,2,,2,,2,2,2,5,3,5,4,4,2,2,3,5,5,3,4,9,,1,,,1,,,,1,1,,,1,5,3,2,4,32,2,9,3,9
R_cwHWYP5d6gnYPcd,5/27/2016 17:16,5/27/2016 17:22,1,1,1,,1,,,,,,1,,,,,3,,,,1,2,1,1,1,2,3,2,2,5,3,1,1,13000,2,,1,2,3,3,3,3,3,3,2,3,3,3,4,1,1,7,,,,,,,,,,,,,3,1,2,4,5,39,2,12,7,12
R_vpD8s3Id1Obh7Y5,5/27/2016 17:19,5/27/2016 17:26,1,1,1,1,,,,,,,1,,,1,,3,1,,,,2,1,1,1,4,6,5,3,2,4,1,1,10000,2,,2,2,1,4,3,5,4,5,5,5,1,2,4,1,5,7,,,,,,,,,,,,,3,5,1,4,2,32,2,4,4,4
